施設名,ps1_同伴者,ps1_年代,ps1_地方,ps1_年収,ps1_カウント,ps2_同伴者,ps2_年代,ps2_地方,ps2_年収,ps2_カウント,ps3_同伴者,ps3_年代,ps3_地方,ps3_年収,ps3_カウント
KOKOHOTEL Premier 金沢香林坊,2人組,若年層,関東,400～700万円未満,20,2人組,中年層,関東,"1,000万円以上",14,2人組,高齢層,中部,400万円未満,13
「安宅の関」こまつ勧進帳の里,2人組,中年層,中部,400万円未満,6,2人組,若年層,中部,400万円未満,4,2人組,高齢層,中部,400～700万円未満,2
いしかわ動物園,家族連れ,中年層,中部,400～700万円未満,37,家族連れ,若年層,中部,"700～1,000万円未満",28,2人組,若年層,中部,400万円未満,11
お花見久兵衛,2人組,高齢層,中部,400～700万円未満,3,友人,中年層,近畿,400万円未満,3,家族連れ,中年層,中部,400～700万円未満,3
からくり記念館,家族連れ,中年層,中部,400～700万円未満,3,2人組,若年層,中部,"1,000万円以上",2,2人組,高齢層,中部,400万円未満,2
たちばな四季亭,2人組,高齢層,中部,400～700万円未満,7,2人組,中年層,中部,"1,000万円以上",6,2人組,若年層,中部,400万円未満,5
のとじま水族館,家族連れ,若年層,中部,400～700万円未満,67,2人組,若年層,中部,400万円未満,39,家族連れ,中年層,中部,400～700万円未満,36
のと里山空港,2人組,中年層,関東,"1,000万円以上",4,ひとり,高齢層,関東,400～700万円未満,4,2人組,若年層,関東,"700～1,000万円未満",3
ひがし茶屋休憩館,2人組,若年層,関東,400～700万円未満,7,友人,中年層,中部,400～700万円未満,3,ひとり,中年層,中部,400～700万円未満,2
ふれあい昆虫館,家族連れ,若年層,中部,400～700万円未満,78,家族連れ,中年層,中部,400～700万円未満,50,2人組,若年層,中部,400万円未満,11
ゆのくに天祥,家族連れ,中年層,近畿,"700～1,000万円未満",4,2人組,若年層,関東,400～700万円未満,3,2人組,中年層,中部,"700～1,000万円未満",2
アパホテル〈金沢駅前〉,ひとり,中年層,中部,400～700万円未満,2,ひとり,若年層,関東,400万円未満,2,2人組,若年層,中部,400～700万円未満,1
コスモアイル羽咋,家族連れ,中年層,中部,"700～1,000万円未満",4,2人組,中年層,関東,"1,000万円以上",3,2人組,若年層,中部,"1,000万円以上",2
スーパーホテルPremier金沢駅東口,2人組,若年層,関東,400～700万円未満,6,2人組,中年層,中部,"700～1,000万円未満",3,同僚,中年層,関東,400～700万円未満,3
スーパーホテル石川・能美根上スマートインター,2人組,中年層,中部,400～700万円未満,3,2人組,若年層,中部,400～700万円未満,2,その他,高齢層,近畿,400万円未満,2
ダイワロイネットホテル金沢MIYABI,2人組,中年層,関東,"1,000万円以上",5,2人組,若年層,中部,400～700万円未満,2,同僚,中年層,東北,400万円未満,2
チサンバジェット金沢駅前,ひとり,中年層,関東,400～700万円未満,8,ひとり,若年層,関東,"700～1,000万円未満",8,2人組,若年層,関東,400～700万円未満,6
トリフィートホテル&ポッド金沢百万石通,ひとり,中年層,関東,"700～1,000万円未満",6,ひとり,若年層,中部,400万円未満,5,ひとり,高齢層,関東,400万円未満,3
トレインパーク白山,家族連れ,若年層,中部,400～700万円未満,30,家族連れ,中年層,中部,400～700万円未満,11,2人組,若年層,中部,400万円未満,8
ホテルインターゲート金沢,2人組,若年層,近畿,400～700万円未満,3,2人組,中年層,中部,400～700万円未満,2,ひとり,若年層,中部,400～700万円未満,2
ホテルウィングインターナショナルプレミアム金沢駅前,ひとり,中年層,中部,"1,000万円以上",6,2人組,若年層,関東,400～700万円未満,5,2人組,高齢層,関東,400～700万円未満,4
ホテルマイステイズプレミア金沢,家族連れ,中年層,関東,"700～1,000万円未満",5,2人組,若年層,関東,400万円未満,4,2人組,高齢層,関東,400～700万円未満,2
ホテルマイステイズ金沢キャッスル,2人組,若年層,関東,400～700万円未満,4,友人,若年層,関東,400万円未満,3,2人組,高齢層,近畿,400万円未満,2
ホテルルートイン金沢駅前,2人組,中年層,近畿,400～700万円未満,2,ひとり,中年層,関東,"1,000万円以上",2,同僚,中年層,関東,"1,000万円以上",2
ホテル・トリフィート金沢,2人組,若年層,関東,400～700万円未満,10,2人組,中年層,関東,"1,000万円以上",7,その他,中年層,関東,"1,000万円以上",2
ポイントバケーション加賀山中,2人組,高齢層,近畿,400～700万円未満,23,2人組,中年層,近畿,"1,000万円以上",8,その他,高齢層,近畿,400～700万円未満,7
ランプの宿,2人組,中年層,関東,"1,000万円以上",3,2人組,若年層,中部,"700～1,000万円未満",2,2人組,高齢層,関東,400～700万円未満,2
九谷セラミック・ラボラトリー（CERABO KUTANI）,2人組,若年層,関東,400万円未満,3,同僚,中年層,関東,"700～1,000万円未満",3,友人,若年層,関東,400万円未満,2
休暇村能登千里浜,2人組,高齢層,関東,400万円未満,2,その他,高齢層,中部,400万円未満,2,家族連れ,中年層,中部,"700～1,000万円未満",2
兼六園,2人組,若年層,関東,400～700万円未満,7,2人組,中年層,関東,"1,000万円以上",3,2人組,高齢層,関東,400万円未満,3
兼六駐車場,家族連れ,若年層,関東,400～700万円未満,4,2人組,中年層,中部,400～700万円未満,3,2人組,高齢層,九州,400万円未満,1
加賀伝統工芸村　ゆのくにの森,家族連れ,中年層,近畿,"700～1,000万円未満",10,2人組,若年層,中部,400～700万円未満,6,2人組,高齢層,中部,400～700万円未満,6
